Source,Target,Weight,Freq,Semantic
上課,上課,1,7595,Aspect
上課,看不清楚,0.1719641402,6,Negative
上課,不能自己,0.1696821516,5,Negative
上課,不愛,0.0859005705,7,Negative
上課,不太夠,0.0381418093,10,Negative
上課,太累,0.0291768541,12,Negative
上課,長時間,0.0275468623,5,Negative
上課,爆表,0.0273838631,29,Negative
上課,忍受,0.0228198859,11,Negative
上課,神祕,0.0205378973,5,Negative
上課,受不了,0.0202118989,13,Negative
上課,太趕,0.0076609617,6,Negative
上課,詬病,0.0013039935,5,Negative
上課,懶得,0,19,Negative
上課,講投,0.2231458843,6,Neutral
上課,快轉,0.1180114099,5,Neutral
上課,密密麻麻,0.1157294214,6,Neutral
上課,因人而異,0.0810105949,12,Neutral
上課,抄寫,0.0805215974,13,Neutral
上課,自習,0.0645476773,9,Neutral
上課,如沐春風,0.2565607172,7,Positive
上課,給推,0.1876120619,6,Positive
上課,超推,0.1625101874,13,Positive
上課,內容豐富,0.1396903015,11,Positive
上課,生動活潑,0.095191524,8,Positive
上課,四平八穩,0.0852485738,5,Positive
上課,優質,0.0733496333,6,Positive
上課,熱烈,0.0643846781,16,Positive
上課,環環相扣,0.0516707416,5,Positive
上課,無敵,0.047595762,21,Positive
上課,口齒清晰,0.0466177669,6,Positive
上課,條理,0.0466177669,9,Positive
上課,客氣,0.0089649552,9,Positive
