Source,Target,Weight,Semantic
給分,給分,1,Root
給分,甜,0.2912587413,Aspect
給分,普普通通,0.1674825175,Aspect
給分,調分,0,Aspect
甜,微甜,0.4166083916,Positive
甜,極甜,0.3795454545,Positive
甜,超甜,0.3498251748,Positive
甜,蛀牙,0.3283216783,Positive
甜,算甜,0.3047202797,Positive
甜,很甜,0.2692307692,Positive
甜,滿甜,0.2685314685,Positive
甜,不太甜,0.2596153846,Negative
甜,偏甜,0.251048951,Positive
甜,蠻甜,0.251048951,Positive
甜,不甜,0.2272727273,Negative
甜,甜甜,0.1940559441,Positive
甜,還算滿,0.1832167832,Positive
甜,算蠻,0.1262237762,Positive
普普通通,就會過,0.7763986014,Neutral
普普通通,普普,0.6538461538,Neutral
普普通通,一分耕耘,0.645979021,Neutral
普普通通,微甜,0.6431818182,Neutral
調分,小調,0.3795454545,Positive
調分,normalize,0.3258741259,Neutral
調分,會調,0.3132867133,Positive
調分,有調,0.3034965035,Positive
調分,大調,0.2795454545,Positive
調分,上調,0.2454545455,Positive
調分,平移,0.2253496504,Neutral
調分,沒調,0.1963286713,Negative
