Source,Target,Weight,Freq,Semantic
老師,老師,1,17153,Root
老師,開朗,0.1726100787,7,Positive
老師,隨和,0.1711032982,12,Positive
老師,一板一眼,0.114850159,5,Negative
老師,講投,0.1123388582,6,Neutral
老師,口齒清晰,0.0899045706,6,Positive
老師,有問必答,0.0827055081,13,Positive
老師,解惑,0.0554160388,16,Positive
老師,禮貌,0.0510631174,8,Positive
老師,投票表決,0.0380043529,5,Neutral
老師,來者不拒,0.0314749707,6,Neutral
老師,不能自己,0.0296333501,5,Negative
老師,撒嬌,0.0261175289,8,Positive
老師,質問,0.0249455885,6,Neutral
老師,優雅,0.0135610246,5,Positive
老師,條理,0.0123890842,9,Positive
老師,溫和,0.0070316424,17,Positive
老師,超快,0,6,Negative
