Source,Target,Weight,Freq,Semantic
評價,評價,1,403,Aspect
評價,五星,0.2165153235,14,Positive
評價,兩極,0.2031782066,6,Neutral
評價,推文,0.1674233825,12,Positive
評價,半顆,0.1261350738,16,Negative
評價,四顆星,0.1105278093,22,Positive
評價,見仁見智,0.0949205448,12,Neutral
評價,個人感覺,0.0876844495,20,Neutral
評價,三顆,0.082292849,23,Neutral
評價,黑暗,0.0795970488,7,Negative
評價,畏懼,0.0791713961,5,Negative
評價,悲慘,0.0778944381,5,Negative
評價,無感,0.0776106697,6,Negative
評價,嘆氣,0.0764755959,5,Negative
評價,想開,0.0690976163,7,Positive
評價,贅述,0.068246311,11,Negative
評價,地雷,0.0658342792,12,Negative
評價,偏頗,0.0646992054,6,Negative
評價,好過,0.0612939841,7,Positive
評價,警告,0.0594494892,6,Negative
評價,太棒了,0.0584562997,5,Positive
評價,超推,0.0573212259,13,Positive
評價,磨練,0.052922815,9,Positive
評價,三星,0.0489500568,8,Neutral
評價,低落,0.0482406356,7,Negative
評價,可憐,0.0479568672,12,Negative
評價,兩顆,0.0471055619,15,Negative
評價,熱門,0.0459704881,27,Positive
評價,猶豫,0.0458286039,10,Negative
評價,美好,0.0444097616,12,Positive
評價,獲益,0.0444097616,8,Positive
評價,難過,0.0404370034,33,Negative
評價,批評,0.0390181612,53,Negative
評價,糟糕,0.0387343927,10,Negative
評價,愛上,0.0383087401,10,Positive
評價,給推,0.0322077185,6,Positive
評價,乏味,0.0244040863,9,Negative
評價,雜亂,0.0239784336,8,Negative
評價,嚇人,0.0144721907,8,Negative
評價,共鳴,0.0122020431,10,Positive
評價,太淺,0.0097900114,6,Negative
評價,挫折感,0.0082292849,7,Negative
評價,有點煩,0.0075198638,6,Negative
評價,有點累,0.00638479,7,Negative
評價,感激,0.0053916005,6,Positive
評價,負面,0.0022701476,10,Negative
評價,後悔,0.0005675369,33,Negative
評價,因人而異,0.0001418842,12,Neutral
評價,太好了,0,5,Positive
