Source,Target,Weight,Freq,Semantic
負擔,負擔,1,115,Aspect
負擔,太重,0.292201382,43,Negative
負擔,不輕,0.2737742679,13,Negative
負擔,較大,0.1834485028,10,Negative
負擔,嚴厲,0.1725896677,9,Negative
負擔,乏味,0.1358999671,9,Negative
負擔,殺傷力,0.1350773281,5,Negative
負擔,挫折感,0.1344192168,7,Negative
負擔,太嚴,0.114840408,6,Negative
負擔,有點煩,0.1138532412,6,Negative
負擔,苛刻,0.1094109905,6,Negative
負擔,耗時,0.10644949,5,Negative
負擔,密集,0.101349128,7,Negative
負擔,很重,0.1011846002,43,Negative
負擔,忙碌,0.0919710431,9,Negative
負擔,蠻重,0.0913129319,7,Negative
負擔,不太夠,0.0899967094,10,Negative
負擔,嚇人,0.0807831524,8,Negative
負擔,緊湊,0.074366568,15,Negative
負擔,過度,0.0707469562,12,Negative
負擔,不涼,0.0592300099,8,Negative
負擔,滿大,0.0556103982,12,Negative
負擔,太大,0.0449160908,20,Negative
負擔,不低,0.0153010859,8,Negative
負擔,不成比例,0.0023033893,8,Negative
負擔,適中,0.0113524186,25,Neutral
負擔,不重,0.3759460349,23,Positive
負擔,輕鬆,0.2900625206,461,Positive
負擔,很涼,0.2260612043,40,Positive
負擔,超涼,0.1739058901,6,Positive
負擔,甜課,0.1656794998,9,Positive
負擔,收獲,0.1521882198,30,Positive
負擔,好過,0.1268509378,7,Positive
負擔,輕鬆自在,0.1082592958,5,Positive
負擔,愉快,0.0671273445,36,Positive
負擔,涼課,0.0434353406,28,Positive
負擔,很扎實,0.0352089503,10,Positive
負擔,偏涼,0,5,Positive
